NDC,Quantity,Cost,Extended Cost
18342670501,2,139.92,279.84
25372086604,4,20.90,83.60
27151627202,4,183.30,733.20
05220688032,12,143.48,1721.76
05764352658,1,68.91,68.91
03058804120,11,89.13,980.43
04025014630,3,41.20,123.60
07762415838,12,116.83,1401.96
32186043141,4,96.50,386.00
46276005671,3,12.22,36.66
23361081471,12,20.50,246.00
03612852256,6,125.48,752.88
27155203800,6,190.47,1142.82
01531022103,6,28.97,173.82
53210000648,19,191.00,3629.00
42322235106,7,35.74,250.18
08342313334,3,8.11,24.33
03565847033,20,22.51,450.20
05370204306,14,8.65,121.10
63740035235,22,63.60,1399.20
08648365665,1,14.26,14.26
01113388280,4,10.17,40.68
04310620070,12,17.93,215.16
70506026670,10,4.29,42.90
60134272402,4,41.67,166.68
47057087632,5,20.74,103.70
03140013627,6,76.39,458.34
37015154706,1,6.50,6.50
05220688032,4,143.48,573.92
34345070130,5,15.99,79.95
07043358808,19,122.43,2326.17
60645281607,12,35.00,420.00
13522534606,5,37.86,189.30
41550001625,6,7.38,44.28
64006144207,12,17.98,215.76
06075545318,5,196.70,983.50
04881244785,4,4.25,17.00
03873662328,18,43.50,783.00
07684067401,2,27.41,54.82
32372511304,2,40.70,81.40
43064853208,2,13.27,26.54
75443058205,1,65.66,65.66
16583035556,4,84.35,337.40
56430043707,4,31.18,124.72
85840034387,5,1.28,6.40
82121076403,1,14.15,14.15
46722033835,7,82.28,575.96
77521013605,18,195.63,3521.34
00300601177,12,67.80,813.60
47553043710,4,62.35,249.40
02804315005,10,11.90,119.00
53244005777,5,102.02,510.10
73024017561,4,36.49,145.96
27516062712,8,82.45,659.60
03230235538,1,5.54,5.54
71476658706,6,37.74,226.44
86535032785,10,1.15,11.50
35555043812,10,142.51,1425.10
07615187122,21,110.86,2328.06
04787042831,2,29.94,59.88
06050482256,5,48.81,244.05
05435421266,2,23.39,46.78
07612418480,4,11.28,45.12
75754081177,1,23.25,23.25
04246411152,4,55.56,222.24
07881018574,24,23.77,570.48
85033331100,7,75.20,526.40
28722612208,2,83.32,166.64
28626003780,8,59.30,474.40
73101087631,23,12.21,280.83
06231617800,5,41.70,208.50
17552157600,5,24.24,121.20
00016515851,5,20.92,104.60
03126481400,2,24.79,49.58
00408326502,15,47.09,706.35
88042037851,6,18.12,108.72
06831851766,6,16.67,100.02
86808335800,5,38.11,190.55
30654141001,13,18.58,241.54
63740035235,6,63.60,381.60
02480036254,7,61.70,431.90
45337815008,3,18.75,56.25
01547821661,6,11.00,66.00
06753360232,4,41.28,165.12
51366784005,1,205.50,205.50
48551571704,4,24.81,99.24
66870005075,3,54.85,164.55
01175556546,5,66.70,333.50
00185628735,4,48.72,194.88
01617020716,3,41.57,124.71
38415008534,5,28.93,144.65
47880245407,2,174.70,349.40
30104054066,10,18.78,187.80
08662045253,5,3.29,16.45
88370278101,16,8.00,128.00
08537376571,1,51.93,51.93
65348833402,12,2.95,35.40
00345164346,4,11.99,47.96
02186546212,6,99.85,599.10
01353464467,13,58.45,759.85
26500340007,5,18.23,91.15
07654021160,2,77.22,154.44
06075545318,24,196.70,4720.80
05786220107,10,24.66,246.60
01617020716,2,41.57,83.14
04026054535,1,27.90,27.90
06078274673,4,60.20,240.80
76531486403,21,47.89,1005.69
07372655845,12,1.73,20.76
04120362512,8,44.64,357.12
43535251406,5,16.96,84.80
74736077744,12,78.29,939.48
18676683300,2,16.10,32.20
06466040484,21,7.47,156.87
05172421461,5,108.59,542.95
00816032553,5,26.11,130.55
02543044454,15,81.38,1220.70
01547821661,10,11.00,110.00
32026642005,1,69.26,69.26
01806017078,2,175.24,350.48
17272028532,1,6.33,6.33
07181513128,5,44.65,223.25
06205408734,5,23.58,117.90
02054542607,9,43.84,394.56
52674025528,13,9.60,124.80
07836024100,2,49.57,99.14
06301685747,5,13.60,68.00
36454425300,6,11.44,68.64
50164076482,11,6.61,72.71
04606031203,6,11.35,68.10
65387048024,5,48.70,243.50
88042037851,17,18.12,308.04
07456402764,6,80.87,485.22
58806031461,14,138.62,1940.68
71281036127,2,40.96,81.92
52325074765,4,16.45,65.80
17363075823,3,20.65,61.95
53244005777,15,104.10,1561.50
35155080567,3,24.53,73.59
08080485660,1,32.32,32.32
08143876636,8,25.15,201.20
05688031681,2,27.27,54.54
17552157600,10,20.12,201.20
02585818166,1,14.92,14.92
07070322185,4,35.24,140.96
07813658343,5,82.97,414.85
40118020667,2,23.87,47.74
02140117748,6,142.70,856.20
00312533406,8,32.63,261.04
42878081266,8,81.73,653.84
05764352658,6,68.91,413.46
03234048842,12,16.60,199.20
12276742203,3,23.12,69.36
00056157406,10,167.90,1679.00
06851020763,4,77.90,311.60
08458273788,5,71.33,356.65
04787042831,4,29.94,119.76
03750686345,10,41.41,414.10
15374613503,18,12.86,231.48
28278370508,1,19.32,19.32
80177378604,4,28.10,112.40
63611034775,1,35.13,35.13
52325074765,23,16.78,385.94
05506080305,2,8.09,16.18
06382587760,6,69.19,415.14
67565061887,6,16.63,99.78
83583107306,3,28.53,85.59
40118020667,10,23.87,238.70
03734127842,16,95.78,1532.48
68773716105,1,5.63,5.63
78403750806,22,48.70,1071.40
06543543341,23,40.01,920.23
61687312301,8,26.66,213.28
54006057441,12,33.15,397.80
72846144805,9,34.71,312.39
31552080745,1,110.15,110.15
36440031678,3,79.57,238.71
77440041687,17,19.60,333.20
01357571172,8,134.79,1078.32
01662426772,8,96.72,773.76
02054542607,5,51.73,258.65
18342670501,8,139.92,1119.36
60364402503,12,35.72,428.64
26253415203,1,4.83,4.83
33621083070,3,29.93,89.79
56632053247,2,51.92,103.84
60713012226,8,17.21,137.68
00570688542,2,25.79,51.58
30363006664,10,15.51,155.10
00238766055,7,3.42,23.94
73607420701,3,188.62,565.86
12008101106,3,65.73,197.19
30210881604,6,29.76,178.56
71658027152,4,13.29,53.16
36454425300,21,14.30,300.30
07615187122,15,95.32,1429.80
16374018562,4,35.77,143.08
07181513128,21,45.54,956.34
67684060607,1,88.80,88.80
86163317701,4,105.95,423.80
40202620408,8,36.87,294.96
66230556806,3,127.70,383.10
71281036127,6,40.96,245.76
04653886306,4,31.60,126.40
85033331100,6,75.20,451.20
37462065835,8,43.67,349.36
05370204306,9,8.65,77.85
26852270102,4,93.88,375.52
87464123305,14,14.84,207.76
51823874305,6,160.69,964.14
02511048353,18,6.60,118.80
72066642102,12,44.63,535.56
02223610805,6,96.91,581.46
48426035038,2,59.13,118.26
06612574200,4,18.98,75.92
28033074056,2,28.75,57.50
03160243181,9,99.65,896.85
13221088002,8,199.22,1593.76
08342313334,1,8.11,8.11
04653886306,2,31.60,63.20
51765838303,21,51.35,1078.35
62757233102,4,6.33,25.32
60317863106,10,6.12,61.20
20750015867,4,40.76,163.04
25372086604,5,20.90,104.50
51674038713,1,11.19,11.19
10651000613,6,29.28,175.68
85033331100,6,75.20,451.20
01106641073,3,63.97,191.91
01806017078,3,166.48,499.44
41550001625,6,7.38,44.28
07857322012,5,20.42,102.10
83472015078,8,50.59,404.72
30682051502,11,197.83,2176.13
82585051102,3,37.33,111.99
21370077852,21,8.86,186.06
07750225708,7,22.17,155.19
04077272050,8,2.57,20.56
10245012424,16,120.78,1932.48
07845071720,3,114.20,342.60
05506080305,10,8.52,85.20
24775054576,4,19.97,79.88
04124785251,2,83.37,166.74
63514467307,4,44.62,178.48
34506068131,8,105.63,845.04
46343333600,7,84.29,590.03
38677085878,6,3.20,19.20
25047030220,5,35.17,175.85
86455003830,8,67.30,538.40
08423078536,4,39.58,158.32
00062200774,19,30.81,585.39
47050022526,21,14.85,311.85
02585818166,4,14.92,59.68
71288437607,19,190.67,3622.73
65348833402,18,2.95,53.10
04718852412,1,13.20,13.20
11125323305,5,1.68,8.40
30654141001,1,18.58,18.58
04388148133,6,37.81,226.86
07246055626,12,42.65,511.80
65314078761,2,7.99,15.98
05506080305,6,8.52,51.12
76047275508,5,29.29,146.45
26500340007,1,18.23,18.23
81422025080,12,213.34,2560.08
06502076235,10,18.95,189.50
43282012035,4,7.29,29.16
28177741504,1,2.54,2.54
45411032054,7,194.34,1360.38
50164076482,4,6.61,26.44
56757204104,1,174.77,174.77
41257275507,6,49.85,299.10
02743781343,5,90.29,451.45
01373076811,1,17.67,17.67
01373076811,5,18.60,93.00
04375814688,12,75.17,902.04
13054051855,12,95.33,1143.96
84106068871,18,155.65,2801.70
84874043067,2,162.98,325.96
80560030178,6,39.92,239.52
30415871004,3,17.87,53.61
80560030178,8,39.92,319.36
01111744130,11,47.26,519.86
80861055864,5,18.81,94.05
85201043231,3,8.13,24.39
06456270583,6,55.86,335.16
35813251807,4,67.60,270.40
61288321100,2,7.62,15.24
08672546211,9,11.56,104.04
14868527206,1,48.40,48.40
15243051718,14,10.15,142.10
35445005085,1,23.87,23.87
51443045757,1,6.54,6.54
65411178506,8,19.68,157.44
46617078088,4,21.66,86.64
76513056423,2,40.80,81.60
12080707101,4,114.56,458.24
24775054576,10,19.97,199.70
80631056438,13,22.44,291.72
26780051185,4,41.19,164.76
15538078068,12,63.73,764.76
05786220107,5,29.19,145.95
18342670501,5,142.72,713.60
25603046010,8,18.31,146.48
70506026670,15,4.29,64.35
51871100602,1,59.56,59.56
00104305746,12,56.72,680.64
52333043300,15,10.89,163.35
02054542607,10,43.84,438.40
83134012307,12,72.54,870.48
32254050511,3,56.92,170.76
04378560202,3,20.22,60.66
07808633747,1,36.36,36.36
32254050511,11,55.21,607.31
18853783508,17,19.95,339.15
14868527206,10,48.40,484.00
88164014635,3,45.92,137.76
72544035313,5,71.99,359.95
03031506178,2,47.92,95.84
01435205834,3,29.44,88.32
08816270777,4,50.81,203.24
37764060188,8,13.85,110.80
32372511304,2,40.70,81.40
00241163052,3,23.80,71.40
61807000804,3,47.17,141.51
00721452680,5,41.51,207.55
03558462804,12,172.74,2072.88
25372086604,5,20.27,101.35
02855444802,8,78.61,628.88
32720372500,4,36.95,147.80
08323077287,12,52.78,633.36
30676058688,6,4.20,25.20
16635465606,8,14.78,118.24
28033074056,1,25.44,25.44
02054542607,5,43.84,219.20
18882045270,7,73.97,517.79
02212763478,10,48.98,489.80
35341048026,2,44.86,89.72
02654860673,8,36.94,295.52
04007831230,1,43.93,43.93
84054048144,3,15.47,46.41
03257263351,2,22.12,44.24
85336068757,19,36.84,699.96
08067685108,13,6.13,79.69
48114374801,1,41.20,41.20
42558425207,4,5.22,20.88
47808036236,19,34.81,661.39
84184771705,4,31.43,125.72
01078654006,10,78.68,786.80
03337064161,20,26.18,523.60
04310620070,9,22.13,199.17
88154288000,1,22.59,22.59
04604011552,19,1.27,24.13
55002052578,11,57.13,628.43
53553412203,20,167.68,3353.60
56632053247,11,50.90,559.90
58036047503,4,43.95,175.80
31577105306,1,16.21,16.21
17215636506,13,5.82,75.66
60317863106,9,6.12,55.08
60713012226,16,17.21,275.36
02140117748,5,142.70,713.50
17785085422,5,67.04,335.20
22138688808,4,41.38,165.52
25056850600,5,44.84,224.20
35276042602,5,31.23,156.15
32638033588,12,127.88,1534.56
82050151606,1,65.11,65.11
16447564707,6,47.19,283.14
11125323305,2,1.68,3.36
37646705305,22,167.55,3686.10
03163776711,11,22.10,243.10
20684131600,6,161.39,968.34
43175412704,2,51.46,102.92
18676683300,6,19.40,116.40
08471261202,6,19.75,118.50
48114374801,5,41.20,206.00
00386000564,8,20.89,167.12
06035573782,3,28.19,84.57
06045371476,3,85.11,255.33
08026684417,4,64.57,258.28
06768448001,6,24.61,147.66
08526345272,3,19.37,58.11
44031300105,6,46.22,277.32
04455506538,10,16.26,162.60
85231860308,12,28.02,336.24
82557237704,3,6.39,19.17
18451008171,11,33.15,364.65
26886084653,6,4.95,29.70
86501001041,4,102.61,410.44
36257558003,8,30.55,244.40
08537376571,21,51.93,1090.53
13130048264,3,91.74,275.22
04653886306,2,31.60,63.20
08243032606,5,49.12,245.60
06125836247,10,49.35,493.50
26841061831,12,45.85,550.20
21773855004,17,14.39,244.63
53872018667,1,35.61,35.61
01563524858,22,65.96,1451.12
00117837843,12,88.63,1063.56
00478074671,7,49.70,347.90
68725453506,5,58.14,290.70
07171646174,12,45.24,542.88
08651481051,5,96.85,484.25
05370204306,3,8.65,25.95
17515053437,11,85.95,945.45
65387048024,2,48.70,97.40
63801183200,1,34.31,34.31
07315227720,3,14.72,44.16
18853783508,11,19.95,219.45
45104002228,9,101.71,915.39
78220066034,5,28.99,144.95
02855444802,4,86.38,345.52
71433783200,11,1.64,18.04
38550765103,8,89.19,713.52
06626856706,5,110.96,554.80
03235564306,8,20.35,162.80
71454031453,4,39.36,157.44
50164076482,1,6.61,6.61
41627323208,6,29.39,176.34
07446082754,4,39.63,158.52
20631020103,12,39.31,471.72
70023760008,4,3.24,12.96
20855082400,2,16.55,33.10
57450382304,10,123.61,1236.10
28278370508,21,19.32,405.72
22237013172,10,76.75,767.50
52485577001,3,21.93,65.79
01563524858,6,65.96,395.76
73427738500,2,39.11,78.22
01563524858,15,65.96,989.40
00570688542,3,28.69,86.07
04773472705,2,16.33,32.66
57010325102,3,69.64,208.92
68686057468,14,14.21,198.94
08115088517,2,29.51,59.02
22414087138,19,58.71,1115.49
07837345410,15,21.63,324.45
02453450532,5,37.25,186.25
02840247221,21,79.38,1666.98
03143240016,1,58.14,58.14
77582068021,4,136.21,544.84
06466040484,13,7.62,99.06
56387045268,6,66.54,399.24
53311770001,10,12.99,129.90
65348833402,6,2.95,17.70
66281780608,3,35.50,106.50
16276710202,5,10.45,52.25
03411313785,7,4.03,28.21
84088076673,18,5.65,101.70
01240012464,9,156.32,1406.88
05435421266,2,23.39,46.78
18342670501,12,139.92,1679.04
02270568473,5,25.50,127.50
30682051502,7,197.83,1384.81
17272028532,4,6.90,27.60
03750686345,19,41.82,794.58
60403186805,3,168.23,504.69
83472015078,3,50.59,151.77
27804085722,10,17.00,170.00
25613051215,18,22.22,399.96
55075641306,4,59.90,239.60
20631020103,11,33.02,363.22
01027606072,10,57.87,578.70
26510752401,5,97.69,488.45
04507311782,2,120.47,240.94
73366042202,3,22.43,67.29
06753360232,6,41.28,247.68
08001075148,8,92.20,737.60
04455506538,2,16.26,32.52
06684018405,3,75.47,226.41
30682051502,6,197.83,1186.98
02143060400,1,190.10,190.10
01573662874,10,7.52,75.20
04520585182,2,32.24,64.48
57076243107,6,6.71,40.26
78482056261,5,12.12,60.60
78482056261,5,10.06,50.30
62004464201,4,22.69,90.76
01110875121,21,61.97,1301.37
72846144805,3,34.71,104.13
02185456874,9,98.91,890.19
34085087305,21,15.31,321.51
00345328118,18,27.79,500.22
53244005777,5,98.90,494.50
00388478727,14,87.02,1218.28
17137028440,6,49.88,299.28
05506080305,11,8.52,93.72
68875002801,2,134.12,268.24
26852270102,2,93.88,187.76
02501730521,11,56.98,626.78
00071620520,3,150.70,452.10
14868527206,4,52.76,211.04
04265743304,9,30.66,275.94
05681033725,2,60.17,120.34
02427405228,3,49.79,149.37
00882324011,2,190.30,380.60
63368877508,2,16.78,33.56
22161051846,23,130.75,3007.25
53562038122,12,51.63,619.56
07330616070,2,16.85,33.70
68875002801,2,169.25,338.50
01511058280,7,70.98,496.86
76757063403,4,43.97,175.88
88546021347,5,103.85,519.25
81766073272,4,3.32,13.28
71070082486,11,45.71,502.81
00772366127,24,99.80,2395.20
70003023267,9,165.69,1491.21
06625441253,6,2.39,14.34
10327881002,4,14.48,57.92
45612048501,4,44.33,177.32
08578356306,14,47.89,670.46
35085337508,5,41.68,208.40
04827375707,4,99.32,397.28
02388043552,1,79.97,79.97
70057834007,2,143.38,286.76
51871100602,10,59.56,595.60
88154288000,8,22.59,180.72
08471261202,6,19.75,118.50
36257558003,10,30.55,305.50
56632053247,23,50.90,1170.70
05713846404,4,37.80,151.20
03035662702,14,52.15,730.10
36440031678,4,77.18,308.72
26662483608,2,198.32,396.64
28003710407,6,49.95,299.70
42307084205,5,35.27,176.35
00327503660,6,28.09,168.54
24775054576,1,19.97,19.97
02353643654,5,153.96,769.80
03143240016,5,58.14,290.70
02830100870,2,103.29,206.58
00265065833,10,178.80,1788.00
85336068757,18,36.84,663.12
20717057850,2,17.55,35.10
37764060188,5,13.85,69.25
04522665857,21,40.36,847.56
07318153050,10,32.29,322.90
01027606072,5,57.87,289.35
01675562641,24,9.39,225.36
04175505406,4,91.45,365.80
66225800506,2,35.33,70.66
05338425415,4,60.15,240.60
73638427006,7,87.21,610.47
33744176206,3,59.89,179.67
01072028355,2,28.35,56.70
47200088245,2,49.19,98.38
03806427135,20,147.80,2956.00
85343677606,1,14.19,14.19
10161413203,2,93.26,186.52
40083818203,23,21.32,490.36
75813747508,12,8.98,107.76
07402363234,19,3.31,62.89
88327042086,3,8.27,24.81
08760067250,11,88.61,974.71
14240734604,4,46.96,187.84
87146437804,22,43.78,963.16
06340063161,20,9.68,193.60
56430043707,7,31.18,218.26
12052057168,3,24.90,74.70
02353643654,12,164.74,1976.88
26841061831,5,45.85,229.25
01467145178,12,31.66,379.92
73530086136,9,45.00,405.00
22706038501,2,76.27,152.54
15663074410,5,26.60,133.00
05766282042,3,38.38,115.14
61807000804,8,47.17,377.36
00056157406,5,167.90,839.50
17335065216,1,32.51,32.51
05435421266,6,23.39,140.34
53252026872,5,17.46,87.30
84054048144,4,15.47,61.88
00408326502,6,48.55,291.30
03270317528,17,68.76,1168.92
74663373703,4,29.61,118.44
10535040462,2,1.19,2.38
03617275870,5,40.98,204.90
10651000613,8,30.50,244.00
08335034601,2,30.82,61.64
04753243665,21,23.41,491.61
46381464602,2,1.64,3.28
01617020716,5,41.57,207.85
00800454127,3,46.94,140.82
28033074056,5,25.44,127.20
71036072713,4,48.70,194.80
60364402503,15,40.13,601.95
01125053128,3,41.32,123.96
32488286806,2,192.30,384.60
04881244785,1,4.25,4.25
01078654006,5,78.68,393.40
02511048353,1,6.60,6.60
00537241124,10,27.92,279.20
81422025080,10,185.51,1855.10
54653255704,12,2.26,27.12
51377062141,3,33.29,99.87
18348132402,4,6.25,25.00
00313550114,10,33.83,338.30
30354024017,16,39.18,626.88
46722033835,4,82.28,329.12
64428085562,24,10.89,261.36
28016047215,5,88.97,444.85
03163776711,3,23.43,70.29
40164553800,2,45.98,91.96
66788007728,10,18.47,184.70
17137028440,21,49.88,1047.48
86535032785,6,1.15,6.90
05715345242,1,9.99,9.99
05566051258,16,117.65,1882.40
02270568473,13,25.50,331.50
07242155258,9,18.19,163.71
88122030413,5,96.55,482.75
02613084718,3,61.10,183.30
82654034731,4,94.12,376.48
86100783608,17,185.45,3152.65
06078274673,2,60.20,120.40
05521068830,4,100.42,401.68
53728837506,2,97.81,195.62
76000273006,2,8.10,16.20
44415071312,3,52.62,157.86
76014311506,9,17.95,161.55
05220688032,12,143.48,1721.76
17215636506,14,5.24,73.36
08505741753,2,4.90,9.80
08356630652,3,53.23,159.69
81685676503,12,23.51,282.12
48456766500,6,32.36,194.16
02438052031,8,63.20,505.60
28626003780,21,59.30,1245.30
63673011705,1,9.92,9.92
15663074410,5,26.60,133.00
77521013605,14,193.69,2711.66
83728238805,20,175.14,3502.80
75657671005,3,69.36,208.08
87464123305,24,14.84,356.16
05688031681,4,27.27,109.08
51723046201,6,21.90,131.40
65411178506,1,20.86,20.86
06340063161,4,9.68,38.72
44084030216,2,40.80,81.60
31552080745,12,106.85,1282.20
52485577001,1,21.50,21.50
65886044173,10,2.79,27.90
02140117748,5,127.00,635.00
20631020103,5,31.45,157.25
61807000804,3,47.17,141.51
71070082486,10,48.91,489.10
65733075417,4,22.18,88.72
05612463071,3,40.50,121.50
00063776734,2,20.77,41.54
87146437804,6,44.66,267.96
26852270102,10,93.88,938.80
05325303306,17,84.57,1437.69
06573263402,6,29.60,177.60
11642513208,4,30.68,122.72
05766282042,4,38.38,153.52
04265743304,10,30.66,306.60
55721048375,6,21.89,131.34
51604663300,3,144.78,434.34
74826048448,9,101.15,910.35
00477072826,7,15.83,110.81
07654021160,3,77.22,231.66
82328441503,2,71.42,142.84
37162070615,12,38.67,464.04
14484135000,3,35.23,105.69
00241163052,10,23.80,238.00
02804315005,5,11.90,59.50
06163126043,1,92.13,92.13
48736081170,6,30.09,180.54
85744468003,8,163.21,1305.68
14000030168,1,17.14,17.14
27747730806,2,22.75,45.50
08532564700,2,3.12,6.24
50448011388,23,111.48,2564.04
47050022526,5,14.85,74.25
00478074671,6,49.70,298.20
48870642306,7,47.38,331.66
25561238202,3,13.54,40.62
01373076811,4,18.60,74.40
05172421461,4,108.59,434.36
68686057468,2,16.35,32.70
30415871004,10,17.87,178.70
00056561245,6,63.40,380.40
37162070615,6,35.96,215.76
76448071038,23,1.40,32.20
86808335800,11,38.11,419.21
36257558003,1,30.55,30.55
23770603707,3,56.10,168.30
18670842001,2,32.17,64.34
04625240108,11,7.87,86.57
18634181801,2,14.90,29.80
05612463071,6,40.50,243.00
88163360806,2,47.48,94.96
04522665857,4,37.72,150.88
05502374232,8,23.91,191.28
07750225708,10,24.72,247.20
03337064161,2,24.61,49.22
40202620408,3,36.87,110.61
40783083047,8,37.24,297.92
03411313785,18,4.43,79.74
02427405228,6,49.79,298.74
34077053538,12,43.73,524.76
88154288000,6,22.59,135.54
02636336322,8,34.40,275.20
48551571704,5,25.32,126.60
01662426772,13,96.72,1257.36
10615351801,5,16.10,80.50
10535040462,5,1.19,5.95
41733452301,3,19.97,59.91
01106641073,4,63.97,255.88
84184771705,10,31.43,314.30
35445005085,14,23.87,334.18
30363006664,1,15.51,15.51
51366784005,6,172.69,1036.14
73427738500,1,39.11,39.11
80860072645,6,15.45,92.70
43288044854,3,31.35,94.05
02557875520,3,16.11,48.33
51823874305,2,146.23,292.46
80631056438,22,22.44,493.68
01326630608,2,83.49,166.98
01353464467,24,49.68,1192.32
08015662161,1,191.49,191.49
56001504203,6,45.29,271.74
51604663300,2,144.78,289.56
01564257638,3,44.90,134.70
38550765103,7,89.19,624.33
05435421266,6,23.39,140.34
03873662328,2,43.50,87.00
62130073502,6,44.26,265.56
00064700886,6,83.28,499.68
04375814688,12,75.17,902.04
04033451164,6,106.71,640.26
32186043141,6,112.91,677.46
86473035165,3,30.51,91.53
21803686508,2,159.11,318.22
08423078536,4,36.31,145.24
66725015358,23,28.33,651.59
05135781806,2,38.89,77.78
28626003780,9,48.03,432.27
60364402503,1,40.13,40.13
14000030168,7,20.16,141.12
05334176303,3,8.82,26.46
04265743304,2,30.66,61.32
07043358808,3,118.86,356.58
78820222201,21,30.85,647.85
04238606526,20,136.10,2722.00
08335034601,8,30.82,246.56
82557237704,4,6.39,25.56
86473035165,4,32.12,128.48
04175505406,3,91.45,274.35
03204186431,8,4.25,34.00
10474860806,4,3.36,13.44
62733773100,3,36.37,109.11
17272028532,5,6.33,31.65
03545220310,15,126.59,1898.85
06753360232,8,41.28,330.24
04375860120,1,142.79,142.79
22221614701,8,179.33,1434.64
46513448305,2,136.22,272.44
05125653007,8,29.54,236.32
14000030168,1,20.16,20.16
00657778127,1,32.30,32.30
24271641204,1,49.61,49.61
81732011217,5,108.54,542.70
46218666700,4,15.58,62.32
68773716105,2,5.80,11.60
38677085878,1,3.20,3.20
16268030416,1,32.20,32.20
30363006664,11,15.51,170.61
00348262243,1,37.67,37.67
05220688032,4,143.48,573.92
05304427882,16,13.52,216.32
06183611337,3,23.60,70.80
87347613503,5,53.41,267.05
06766103116,5,36.40,182.00
66225800506,20,35.33,706.60
21005761101,4,35.16,140.64
53018035138,1,2.92,2.92
80876572401,23,114.99,2644.77
05184017340,6,38.77,232.62
88154288000,4,22.59,90.36
82750780706,3,47.85,143.55
00117837843,3,88.63,265.89
01435205834,3,29.44,88.32
00313550114,24,33.83,811.92
07171646174,3,45.24,135.72
63684056415,8,20.79,166.32
02613876723,3,97.19,291.57
65624045187,12,73.27,879.24
27151627202,2,183.30,366.60
05702538400,3,132.45,397.35
08528277545,4,25.23,100.92
68053823801,4,17.74,70.96
18882045270,4,73.97,295.88
00537241124,12,25.69,308.28
45871080718,23,146.25,3363.75
61687312301,6,26.66,159.96
05550110405,2,193.89,387.78
00312533406,1,32.63,32.63
02143060400,8,190.10,1520.80
81685676503,16,23.51,376.16
31533022806,2,82.43,164.86
47050022526,11,14.85,163.35
26841061831,8,45.85,366.80
08270673426,3,20.99,62.97
18532015602,2,44.95,89.90
30354024017,4,47.21,188.84
81323018781,13,13.56,176.28
08471261202,17,19.75,335.75
00388478727,3,87.90,263.70
07615187122,2,103.61,207.22
84054048144,19,15.47,293.93
00817525046,5,38.43,192.15
53311770001,10,13.82,138.20
02852833648,3,15.68,47.04
58425474101,6,36.52,219.12
04284806604,7,27.25,190.75
71737086744,3,96.75,290.25
86455003830,2,67.30,134.60
03876112226,7,42.14,294.98
06354351000,7,29.59,207.13
18532015602,4,44.50,178.00
05325303306,2,84.57,169.14
32034074842,2,6.85,13.70
03788083674,12,21.84,262.08
46471017843,6,117.10,702.60
07005477313,3,29.71,89.13
06466040484,1,7.47,7.47
52333043300,4,10.89,43.56
00606105142,6,81.38,488.28
00661283744,22,130.80,2877.60
03768071577,4,4.90,19.60
00071620520,12,150.70,1808.40
02303278072,7,21.20,148.40
01072028355,12,28.35,340.20
48815204801,5,30.36,151.80
21370077852,5,9.21,46.05
08708725061,16,9.69,155.04
22414087138,6,58.71,352.26
78403750806,3,48.70,146.10
06766103116,16,36.40,582.40
04033451164,5,113.11,565.55
03382524317,4,70.70,282.80
01412472334,2,11.91,23.82
04378560202,23,20.22,465.06
76014311506,21,17.43,366.03
07837345410,5,24.23,121.15
27666028348,12,45.40,544.80
36257558003,21,30.55,641.55
03605257354,12,71.09,853.08
37402085652,1,13.67,13.67
61843032202,2,148.37,296.74
77488445405,2,39.42,78.84
01630771332,19,10.92,207.48
70506026670,14,4.29,60.06
