NDC,Catalog Number,Price
31844042425,035471,7.07
76047275508,036417,32.19
03840853644,036575,9.64
00335488712,037047,116.18
62757233102,037463,5.63
26778026465,037557,114.90
54237037805,037676,183.62
64201775201,037763,190.30
04888031736,037870,10.61
07315227720,038002,14.72
03786030502,038210,46.97
02606411256,038253,33.74
14000030168,038660,20.16
02666817743,040244,28.33
31785522107,040555,5.68
05821577108,040564,70.09
18204280004,040740,43.43
86226032760,040813,28.12
68376057216,040833,50.13
46716437803,041184,27.18
03035725600,041186,19.36
06851020763,041246,77.90
00068714873,041586,154.93
80642063357,042033,48.84
82210020271,042231,32.21
35226060514,042316,111.41
06578584532,042527,57.99
86685005822,042621,25.73
01385357174,043002,9.47
42263052708,043065,5.90
11251038006,043266,85.80
05008727174,043427,85.40
01436185602,043631,29.21
08817722036,044013,4.20
73755045251,044046,55.83
01078212425,044102,81.77
61807000804,044142,47.17
46282074126,044514,41.51
33403252701,044735,19.29
61180003700,044786,47.77
01125205845,045281,12.94
41257275507,045284,49.85
48426035038,045471,59.13
13225030064,045628,7.82
06025331703,045688,33.70
70546074456,045708,25.30
23687603507,045737,38.61
84184771705,045741,31.43
60317863106,045814,6.12
00715274508,045841,41.22
01772886005,046408,61.59
51765838303,046628,51.35
36040076142,046633,94.86
23580070704,047361,163.70
06677671782,047837,42.93
06336787136,048511,138.16
73506248201,048601,2.58
08816270777,050357,50.81
02337083722,050422,60.40
14304006553,050580,72.96
32310013007,050730,28.71
64834044835,050770,63.87
30251172307,050815,73.43
01242757482,051406,47.12
53502036765,051423,38.98
81536032203,051661,194.81
03850434401,051886,176.83
34531208208,052127,87.84
70004016075,052138,4.93
02654860673,052228,29.92
74718073456,052262,17.64
65168047488,052387,71.59
06116380505,052405,164.27
00270012072,052455,76.46
07585655575,052543,32.15
44318860502,052565,91.66
73067012570,052601,104.50
81685676503,052608,23.51
70465152107,052627,22.25
06627438528,053143,85.54
31217000385,053331,8.98
05324768548,053714,10.00
86501001041,053771,102.61
67486087064,053804,28.68
74878087806,054040,131.97
54361274506,054124,126.90
88111147101,054135,46.76
83632067264,054212,10.83
24575053207,054456,183.42
66230556806,054478,127.70
35057015573,054867,49.93
35021063641,055104,57.28
12052057168,055153,24.90
05807056436,055205,18.19
53872018667,055304,47.18
07132724024,055312,61.22
44423026684,055434,2.40
11140762308,055514,17.61
46768048187,055567,49.15
07554142377,055608,18.96
68321084460,055837,25.92
03667613181,055850,97.97
32352041553,056018,55.16
08721060062,056080,30.10
17784214104,056116,43.74
66833027438,056144,44.58
31553737502,056316,1.60
07654363471,056366,42.42
35016672707,056425,39.76
04608184758,056783,61.48
35067037528,056806,177.26
07685004812,057365,144.96
03161525530,058026,22.27
51722036488,058033,19.95
53013800606,058148,93.90
33013488605,058328,98.31
72746438406,058458,145.37
00874475540,058600,48.91
00603134627,058857,18.10
32504462504,060014,4.62
52536011483,060255,86.95
88122030413,060433,96.55
22414087138,060515,58.71
21077127802,060563,93.54
56077734008,060607,44.30
85003057616,060828,44.57
04246411152,061026,66.94
15446006312,061115,24.42
08147711782,061214,73.90
60770045508,061267,40.64
03612852256,061346,125.48
57450382304,061528,128.76
71865605606,061541,12.69
33212687406,061617,22.50
10265046568,062075,15.29
04458347601,062347,32.66
12062446101,062362,29.00
83134012307,062424,72.54
71241662308,062555,12.17
87184432300,062755,44.19
30405053513,062806,7.85
53173632301,062873,3.46
24836053781,063015,12.73
78403750806,063108,48.70
12412801702,063304,15.76
85033331100,064141,60.91
00441078005,064250,70.95
07373455882,064316,18.75
03244160260,064532,7.75
80515131305,064734,147.62
08560213772,064841,18.06
10161413203,065123,93.26
06865682304,065124,16.88
36022158208,065357,137.51
01413407550,065587,49.99
20386007756,065701,41.11
35852002262,065707,34.76
23647544800,065726,22.64
70860657301,065740,31.90
06787323825,066427,59.13
07312470333,066586,93.24
05526328842,066634,197.07
07301647500,066754,112.38
06345056751,066773,39.45
50668016607,066856,76.80
05077473617,067160,44.30
21555030265,067200,42.19
01373076811,067276,18.60
22767680603,067470,45.33
31552080745,067617,110.15
05530868880,067705,19.06
06480637725,067825,4.32
48551571704,068148,25.32
04647338582,070107,48.74
87273705006,070266,34.17
24318088880,070431,71.74
51823874305,070542,160.69
68821056207,070552,132.03
02724477477,070688,30.31
78881075387,070752,158.33
00623533207,070807,10.83
08467207078,070838,126.11
01125053128,071046,41.32
67765280703,071114,25.30
16486125606,071165,4.93
05158007138,071166,47.67
84786320107,071412,21.20
77128121404,071488,10.25
51366784005,071840,143.33
75146000067,072007,28.93
18644000146,072242,108.55
06337377073,072465,47.80
05325303306,072527,84.57
06155468106,072648,166.97
41444544103,072687,6.15
10487305701,072763,56.11
04435844347,072767,7.93
48641083405,072871,36.76
08310384766,073207,57.59
07541243628,073307,36.78
14755061622,073380,38.36
88378562505,073554,44.71
08250076251,073657,33.92
52550051670,073673,36.11
37672363601,073757,27.51
03876112226,073881,42.14
32274085163,074056,81.30
02075782146,074420,29.21
56611162801,074527,32.13
08302101303,074613,110.94
00344753538,074721,67.96
08281433186,075055,30.83
66208755802,075303,88.54
07468751503,075655,19.45
51305026710,075734,30.59
13641014176,075827,90.98
71316060246,076033,30.50
28448021646,076278,32.60
02710757608,076537,98.94
15277068507,076764,69.32
10670082710,076885,14.79
06238674081,077123,38.24
85784016216,077750,159.02
20275030567,077842,32.33
46052035775,078030,64.28
11684037580,078057,184.27
03721207482,078376,112.14
32855068384,078387,25.25
02038077263,078737,37.31
43584768207,078767,79.43
42878081266,080222,81.73
02614202171,080242,5.84
53505046072,080243,41.54
86131020008,080327,18.64
07432100161,080676,45.81
04310620070,080778,22.13
06813253380,080874,123.56
35341048026,081077,41.72
63172064486,081142,11.60
25841148806,081267,130.19
64525058111,081473,11.24
03788083674,081565,24.00
06807507818,081626,192.20
12527617104,081647,5.60
34312762100,082071,29.69
26535610805,082088,24.88
44322047534,082113,43.28
77270020767,082243,2.11
03630485315,082608,2.13
51573726200,082778,177.72
25047030220,082853,35.17
46556051541,083001,95.10
62841050752,083812,45.91
54383038718,084223,14.42
60056641208,084260,2.15
44302104007,084262,120.27
20643038838,084270,34.77
14157552401,084675,38.49
06086033554,084686,1.51
20858824202,084764,39.61
85563346802,084855,17.66
33112685007,084885,15.52
38860681302,084886,49.23
22502884408,085265,20.60
86635057050,085676,7.12
07318225877,085731,134.66
01425635106,086036,46.10
02327011810,086105,33.44
46471017843,086221,117.10
35134006636,086385,23.30
61575040546,087243,198.74
18866357406,087356,55.85
85840034387,087450,1.28
63247888806,087881,79.19
22712373505,088020,123.47
50600468501,088307,6.41
43614020818,088327,12.70
73741064845,088355,37.29
15374613503,088370,12.86
73504075805,088462,47.31
14164010662,088528,36.30
05157506060,100544,1.76
32435547807,100568,17.50
26146564804,101311,89.44
43855128706,101534,94.19
13354003426,101736,11.30
02770035021,101842,79.49
07021511656,102047,39.75
04021288421,102072,144.48
27178074508,102271,50.32
06880768745,102320,65.39
05685183302,102343,53.10
70658577601,102427,22.24
06511652667,102554,6.78
45008274205,102565,33.30
71822003457,102733,25.80
03158678463,102805,9.14
54174003602,102808,31.79
87181814401,102811,42.81
03058804120,102887,89.13
01360087225,103154,129.13
00126000776,103363,34.50
74077728504,103538,92.78
83120622301,103807,29.58
70056060403,104157,31.20
04625240108,104315,7.87
37225022786,104324,44.51
68336015153,104450,4.60
60714016088,104767,15.27
36715030858,104875,22.31
03221311506,105212,121.19
20631020103,105652,39.31
02866766018,105825,7.22
02312548843,106122,69.18
62271020773,106128,45.16
06624603070,106280,140.12
00104305746,106445,56.72
04186137012,106833,77.18
66445756503,106846,2.58
04830516423,107107,3.48
03802742287,107114,3.51
04111407660,107132,2.56
07614030552,107583,42.25
03773665640,107630,1.49
16320022863,107640,21.70
07760205130,107824,89.24
41045012088,108433,36.89
60532051018,108760,102.43
07667515555,108878,9.55
05335631413,110122,39.22
88721573208,110207,36.18
38034061648,110253,186.70
03163776711,110467,22.10
07617088702,110488,77.15
04404784613,110670,139.63
26785575800,110763,165.32
05502374232,111137,23.91
68875002801,111411,159.67
60768013650,111515,106.94
10384033788,111785,155.60
00817525046,112143,38.43
08713041506,112201,43.04
34552031226,112308,129.70
78034017836,112622,2.24
53311770001,112740,13.82
68413037640,113106,43.27
12565131504,113155,4.87
78166070313,113226,46.87
46483050187,113385,68.60
04761070738,113478,47.49
04582026147,113485,63.72
82643005050,114070,65.49
03204186431,114833,4.25
44816364306,114850,82.08
85885600000,114853,93.35
11623000846,115328,91.82
05072352705,115776,1.30
07012200708,116455,36.77
03416800287,116673,63.90
16740162303,116716,143.13
65867618107,116774,28.94
22734012426,117523,35.34
26844318104,117648,14.93
04065383815,117664,116.38
06332880467,118152,36.96
22007128608,118284,61.18
43617068528,118327,23.59
08861713686,118334,24.24
08836538173,118426,18.11
31755770402,118631,15.79
72358557305,118643,149.59
04541650183,118802,23.07
05802088788,120168,58.30
07656010477,120363,66.83
66124005711,120406,32.47
73317063135,120730,58.49
00056221503,120831,4.17
11854324305,121352,13.10
01467443808,121418,40.20
01440677676,121452,92.73
75377861600,121762,104.35
02777346133,121825,47.14
06056466746,122117,23.39
46781650001,122712,22.80
22844033107,122724,84.47
88154288000,122728,22.59
07816062466,123036,44.61
24112081638,123064,191.43
01855261053,123126,1.89
54460000257,123264,38.20
12060088810,123334,34.79
76237045325,123504,172.53
22167088632,123553,85.48
08287850713,123564,7.91
30210881604,123631,29.76
50147552304,123673,70.19
55361222508,123721,159.52
88536010568,123870,16.89
00013255246,124022,186.96
43843662000,124171,7.77
87745435007,124247,43.44
48652528506,124535,105.46
82174027203,124788,107.41
31802283008,125067,47.94
45176031324,125133,20.79
14806818107,125188,61.78
21160020580,125207,24.95
75447837306,125210,17.84
76711018183,125437,16.20
18770081201,125567,2.44
84012084252,125573,88.97
51782861701,125674,62.70
17326054440,125760,32.33
06051365804,125828,7.98
75754081177,126077,23.25
10474860806,126246,3.63
30306871207,126483,27.04
68522014777,126535,95.50
36664077520,126542,28.36
03206081288,126548,92.96
64627327803,127168,111.63
02534613142,127274,161.60
06466040484,127361,7.47
73430850207,127624,153.89
52253043102,127804,42.60
37482412000,128033,24.83
03070166707,128368,28.66
01255575074,128425,23.70
04041328521,128758,26.78
36555068342,128804,6.42
52674025528,128845,10.08
55775384808,130005,20.45
08032711574,130064,170.64
07004885270,130252,130.25
18532015602,130440,44.50
86535032785,131041,1.15
22034074215,131286,30.65
56085812802,131381,14.26
77630857405,131386,28.23
64708078148,131406,129.60
01203336626,131410,62.98
52642006045,131437,24.78
73448015775,131548,13.16
04340177246,131884,39.44
07538038381,132287,6.16
05682631001,132310,34.67
00500802856,132375,74.13
15066064164,132683,141.11
08236734414,132726,28.43
04706002545,133010,9.60
25613051215,133068,20.66
80786647006,133280,59.48
04375814688,133676,75.17
64688568806,133756,79.48
02818467451,133763,1.51
04322267685,133834,46.23
37547724603,134073,85.53
04336133401,134223,85.31
55042007100,134302,164.18
55728003102,134474,17.26
44366073643,134646,14.96
04415101710,134765,7.31
01273773473,134777,19.68
05645031047,135075,33.62
71665035144,135081,28.48
37646766402,135257,44.39
08755530826,135372,72.25
26510752401,135382,97.69
28016047215,136310,88.97
02270568473,136537,25.50
64771047020,136586,51.90
04130315462,136682,29.21
07838860646,136768,107.35
20284046158,136776,82.65
14176015714,136785,3.97
02337456562,136887,102.73
02787778615,137101,58.92
06765218607,137304,26.73
25277070107,137415,87.86
88473233601,137435,40.79
73328057880,137471,28.30
05466603488,137535,49.27
78280586803,137706,47.05
74310310408,137828,56.38
41245005102,137833,18.95
22387011503,138253,15.82
13130048264,138255,91.74
50860046010,140074,37.37
18373075343,140151,72.56
05604048323,140214,37.75
24718084344,140275,35.88
06078274673,140406,60.20
57010325102,140451,69.64
05550110405,140818,193.89
03811365405,140871,36.99
02572346754,141061,12.38
12746478504,141334,12.13
61070021025,141533,43.92
07453614071,141775,39.56
11710707403,141778,38.43
55651055546,141816,15.43
30111584300,141858,97.84
58030053547,142071,77.42
63740035235,142282,63.60
23468034006,142300,185.46
65342048527,142688,30.13
17303040838,142817,27.35
27824827805,142843,6.39
07361411340,143256,116.15
06846003056,143371,18.96
25034056562,143425,93.88
86311035036,143583,21.10
78563326006,144517,31.23
68722031704,144555,11.60
17125412002,144651,44.56
08786515488,144757,64.23
01083347402,145068,58.10
04678045120,145213,25.69
05648352503,145306,72.60
74660433401,145334,172.00
58363026068,145377,107.80
70457000343,145627,19.95
22363032674,146412,31.82
42547032203,146425,133.71
04515884305,146462,98.31
42558425207,146531,5.22
32186043141,146607,96.50
01468603856,146822,3.02
50456766808,146873,42.17
23818707401,147467,33.18
77381636403,148421,74.28
04421030044,150083,12.60
35083328601,150361,78.79
03408055007,150523,13.30
02713382171,150770,25.51
71674851708,151081,38.45
03080845650,151283,82.33
04033451164,151474,122.72
10138006783,152201,48.19
06743510502,152240,17.31
34747015543,152325,52.50
24837042406,152436,1.47
75757225107,152764,170.65
23450230402,152835,48.84
35750745002,153044,19.67
16374018562,153728,35.77
04522665857,153750,37.72
37651833002,154030,22.85
01477004786,154167,176.40
18853783508,154316,19.95
01734878056,154350,15.31
58806031461,154433,138.62
01147270562,154451,47.23
16185165203,154532,46.42
21773855004,154644,16.55
43553517005,154657,50.47
05050210208,154680,37.30
46241035816,154765,31.35
08160285010,155012,33.30
06688763666,155124,47.41
10723077833,155423,23.93
71202870501,155518,47.18
76531486403,155552,47.89
00721452680,155666,41.51
51163661601,155712,37.16
20547373002,155734,16.74
80257642405,155822,12.40
04120362512,155882,44.64
00658758457,156078,187.87
14030081300,156100,13.58
02571415155,156334,45.93
88532034765,156673,6.44
16635465606,156720,13.89
03282740552,157185,49.31
72352361801,157414,22.99
54100040366,157430,23.18
07344271680,157520,6.17
74400055437,157560,80.66
42307084205,158084,33.86
66247005388,158225,50.72
03382524317,158542,70.70
06553716027,158734,43.45
62752057326,160045,16.40
88715044707,160482,2.16
05144426465,160800,8.50
13700007708,161137,95.46
74826048448,161226,101.15
08035013810,161348,37.08
30770022617,161541,46.83
07070322185,161548,35.24
02574802811,161655,20.60
11125323305,161732,1.68
02670586753,162174,50.45
00845025366,162280,105.20
62148062117,162287,55.97
01465572722,162711,69.26
03446407035,162753,23.22
02282037881,163006,35.35
03330671424,163278,80.87
07007070801,163402,76.16
04187654436,163630,43.95
08547267825,163664,162.73
77808708706,164002,190.59
01661351112,164075,38.47
42872026153,164147,48.62
07870674268,164151,62.84
14415557504,164238,91.48
10228647201,164283,45.54
04771478583,164360,93.64
07071383162,164481,83.94
11262632607,164545,11.76
01248164831,165457,136.12
73266831204,165485,4.52
47107856603,165503,29.15
76324310505,166048,109.40
48258030223,166141,176.00
73255020075,166232,194.84
05881828035,166254,29.61
12363018701,166432,9.76
34085087305,166536,15.31
51007012752,166778,40.74
05124606753,166828,9.78
86834500403,167066,26.87
75601856608,167247,43.43
06473512655,167306,42.98
02624072761,167347,44.65
07701617554,167362,186.38
21802614202,167544,93.20
14240734604,167551,46.96
43150387303,167561,73.97
62577085305,167875,13.30
83124054211,168118,5.57
25805013076,168140,46.91
67078323205,168454,11.98
48477054302,168481,34.50
03877031203,168538,71.54
22057055703,168678,45.29
51661525500,168753,47.18
51071611600,168851,19.45
48126086323,170010,93.66
00320483305,170078,12.00
43535251406,170117,16.96
67331815707,170337,110.65
06404775414,170433,33.00
13806388408,170437,7.64
06847361034,170470,40.93
18835072103,170651,162.24
00185628735,171464,46.28
03355066145,171553,174.21
30505046706,172120,71.82
25666651703,172121,39.90
11310006353,172162,14.46
01606734145,172226,141.49
72143777708,172260,42.22
08073277086,172536,43.91
08182183802,172547,4.16
06715740626,172658,61.63
07633104650,172832,38.14
21688008540,172867,2.39
64667041228,173131,158.88
22401028404,173141,11.25
36237062375,173241,49.43
67628066407,173515,41.23
08648365665,173567,14.26
34506068131,173650,105.63
63043066463,174031,49.78
68085010172,174112,116.60
02866634582,174187,100.47
87318116203,174235,28.88
45411032054,174333,194.34
16177847503,174334,37.21
01566538821,174344,33.80
31113318203,174536,33.61
15071736502,174778,8.39
22370062037,174804,18.68
28123077048,175020,15.88
24860536503,175181,9.80
02427405228,175387,49.79
72555112401,175632,14.59
37142443500,176041,98.63
52434546200,176414,109.10
07420883867,176531,17.59
08760067250,176551,88.61
27156887308,176748,79.19
45226104003,177007,48.05
04606031203,177456,10.33
40152424602,177664,15.77
50448011388,177851,111.48
04257086644,177854,20.76
84501012438,178201,163.90
70874671105,178313,142.10
86824022016,178355,82.23
37388070004,178416,2.10
05840004660,178458,38.97
24452862607,178783,39.52
18366272100,178821,11.66
44032057742,180141,34.16
28722612208,180187,83.32
01024106402,180254,37.14
24355036232,180400,18.73
54653255704,180477,2.35
56387045268,180607,66.54
57114030412,180706,32.80
02407267182,181266,3.54
00814344742,181281,24.53
13526673805,181317,14.61
71114077502,181376,26.01
56438041565,181412,41.39
12661752307,181428,29.85
06565782118,181465,23.18
57855072125,181618,64.16
21507016264,181640,35.20
21786234702,181685,34.15
78470318806,181808,63.57
45842084128,182008,28.97
04065512320,182204,81.13
35715427201,182286,47.44
02852833648,182588,15.68
07242155258,182656,18.19
42032023487,182713,42.80
58516265700,182771,60.10
73314115206,182872,98.00
75223610804,183050,74.67
01653138037,183055,43.30
06114678177,183572,182.61
38162236806,183711,25.60
67565061887,183751,16.63
78016711106,183810,58.81
05237545384,184017,182.33
08551015754,184044,45.20
72614003062,184068,44.13
04322765252,184202,9.99
36245042036,184218,33.18
26780051185,184285,41.65
66850453001,184316,88.24
05068507208,184343,68.90
48578213202,184410,25.86
04105320105,184665,97.93
01278622425,184778,24.24
42166716605,184888,168.96
43267565508,185146,20.95
06542833067,185245,26.23
11517011282,185355,21.50
55343063448,185488,84.71
36862012253,185655,47.30
26733002340,186071,67.72
77246052745,186218,4.59
04810365462,186722,20.22
63227002270,187530,31.88
02370474510,187582,42.79
41752545708,187886,26.62
16372276302,200002,15.42
15538078068,200034,63.73
00261581521,200334,49.84
00117837843,200430,88.63
05887121613,200462,46.20
30514135303,200541,52.86
03503108337,200770,70.56
11658515507,201106,40.93
02613084718,201238,61.10
16218335705,201407,16.90
81423004116,201450,139.91
27177018468,201622,33.30
70552208204,201803,27.69
04025014630,201854,41.20
02411131767,202107,29.99
13045712003,202175,28.49
22706038501,202308,75.51
07222527102,202427,9.71
68558401608,202446,36.75
05023481214,202452,43.18
00245133526,202652,47.30
24305034365,202840,6.45
88356060488,202875,94.84
30453038661,203075,8.84
44107013480,203234,14.90
47110080665,203356,28.43
50660008581,203408,17.20
05248858217,203440,126.56
65130714002,203453,7.23
06766103116,203537,36.40
00378800342,203552,28.96
27546057240,203633,23.63
77074047524,203668,67.86
30836045205,203783,103.25
28317044578,204075,48.65
37646705305,204176,177.60
62213684600,204356,36.87
83226008208,204477,34.16
07881018574,204501,23.77
11848241701,204774,85.57
16145077853,205026,33.96
53426486208,205047,15.77
05840788748,205071,46.80
23703013778,205316,19.18
00746422546,205467,18.16
12535073658,205540,188.20
05571612328,205550,128.26
17658047161,205644,55.91
01108275301,205684,14.92
36723436405,206038,21.99
03731670703,206285,42.53
08242730446,206288,42.04
01668056306,206300,14.60
01317561760,206326,115.76
02438052031,206434,58.78
34662026473,206548,186.66
03160243181,206813,99.65
04346126442,206872,3.25
03767210878,207011,24.92
03228081334,207060,95.40
04884864801,207130,75.44
03687788561,207445,23.71
04335358267,207727,117.59
14170458008,207760,69.49
37162070615,207857,38.67
07525357800,208166,191.60
66163437203,208203,38.60
66505011276,208376,25.75
06832834201,208668,37.98
56030588001,210013,11.66
06086770104,210016,45.83
00635658514,210068,49.97
01853824663,210125,184.55
06017612065,210230,80.79
32751783308,210442,44.95
71252031233,210576,2.71
01806017078,210725,175.24
07000478143,211631,24.42
21315003571,211704,10.16
07323160150,211887,10.64
61383584701,212176,25.87
12673860408,212231,42.35
33746086475,212306,36.40
46721015037,213025,5.36
12453000805,213027,43.90
20240016043,213157,3.18
82743566203,213283,98.27
06510442146,213377,73.96
70808067410,213683,20.82
33637042887,213686,3.97
76000273006,214016,8.10
41415071518,214203,1.93
66887242801,214403,18.70
58667455502,214422,9.23
77488445405,214521,46.12
27488420401,214624,13.14
57518636704,214723,71.85
05875466531,214786,35.52
05851086585,215432,89.37
24031004771,215516,25.92
63358041125,215728,22.87
50438664804,215771,58.97
70451080285,215776,43.52
16363012367,215870,4.70
24120004557,216047,19.23
05315857200,216066,24.37
22113883108,216080,174.71
38243074725,216112,43.50
51258066338,216336,10.71
01557313662,216404,33.73
01210851885,216737,45.84
07176264181,216781,71.73
76775513008,217178,48.00
16736025601,217608,93.69
02486270456,217610,5.45
12881065638,217636,42.94
06203613375,217675,24.21
60406044526,217858,90.70
02407227634,218025,6.88
23176022267,218300,141.17
38076874701,218317,157.36
03181361310,218327,76.97
46513448305,218425,136.22
15362016032,218432,11.81
33146886802,218447,28.00
02020808088,218731,43.13
55814080208,220154,1.13
73125847702,220203,24.00
00877557574,220206,33.98
38246047570,220320,30.97
08140571116,220553,9.80
86746037131,220714,41.22
13780028556,220745,4.24
08360072628,220843,12.58
67718064546,221057,96.00
58617587300,221264,12.35
07101451261,221373,65.19
51306051807,221387,15.31
04375860120,221564,142.79
00417105753,221578,63.19
83372057150,221775,69.66
04831854688,221886,99.36
58703005614,222350,71.98
48613085814,222701,26.74
15242018056,222716,15.38
51005076550,222752,20.75
56285038006,223048,38.43
17215636506,223254,5.82
28037044448,223261,17.16
53255645002,223431,23.20
00581077428,223564,163.89
07032247713,223601,122.52
38027344306,223635,4.60
46218666700,223746,15.58
00153224077,224034,213.30
05157675164,224172,41.15
46617078088,224372,21.66
45757768700,224418,1.99
04674586441,224453,2.23
18373016103,224702,39.42
71737086744,225008,96.75
37113057675,225202,60.40
82003726005,225302,19.34
00353514703,225826,74.68
60481154108,225832,13.23
07612418480,226014,11.28
00586802130,226175,3.81
08672546211,226322,11.56
68570830301,226577,176.21
35563041824,226722,26.55
74774147204,227075,1.30
00658631878,227076,1.12
06105828461,227188,174.80
08822573507,227371,66.79
08185680565,227383,19.79
81456115100,228016,9.42
04306600510,228150,1.10
63611034775,228664,38.60
58705000203,228781,2.20
04255147588,228851,12.10
12877067305,230030,25.31
64105224201,230484,36.96
00360657458,230487,11.20
62038444702,230517,33.94
26131502007,231014,61.72
86235070280,231144,188.20
03411313785,231412,4.43
03603365647,231566,30.25
70060071277,231663,40.42
80448025603,231704,33.20
08417418880,232000,2.19
00537241124,232080,27.92
71161065067,232308,48.73
44245561008,232441,50.31
07156471207,232500,25.85
88327042086,232517,8.27
23057700506,232534,44.61
33553686701,232548,40.21
64533056677,232762,4.90
00714046622,233022,90.18
08788058253,233051,13.47
07565063048,233106,17.62
01481222550,233412,90.97
34216136301,233530,9.28
62004464201,233557,23.39
30654141001,233614,17.84
33883007655,233742,38.21
64713231701,234224,52.72
06831851766,234371,16.67
08016814473,234561,126.30
02462588261,234731,23.47
21704026216,235104,4.73
12470001756,235677,37.35
26765033522,236602,82.20
77278746806,236624,33.89
60134272402,236773,41.67
07323640005,237007,102.01
40167053780,237051,38.40
00661283744,237187,130.80
06887841108,237262,89.32
04247021651,237564,181.87
48207071877,237645,152.57
03757262304,238168,62.31
36186057810,238213,29.35
83745513302,238425,63.82
45362043227,238625,46.48
01836200326,238770,62.28
01603888202,240082,27.11
